urinario	1491
conjuntiva	683
córnea	1194
retina	1758
coroides	461
ciliar	659
lacrimal	129
nasolacrimal	18
órbita	1095
músculos	1081
extraoculares	41
retro-ocular	1
globo	706
espinales	142
lóbulos	84
ventrículos	48
supratentorial	54
temporal	1022
occipital	631
ventrículo	2060
cerebelo	361
cuarto	1315
encefálico	453
infratentorial	57
craneales	183
caballo	1061
olfatorio	75
bulbo	388
acústico	137
corteza	728
estructuras	626
relacionadas	390
paratiroides	396
craneofaríngeo	52
pineal	156
carotídeo	269
aórtico	1273
paraganglios	13
pluriglandular	26
endocrina	380
tumores	179
malignos	36
neuroendocrinos	12
carcinoides	31
carcinoide	303
diferenciados	1
neuroendocrino	102
alto	918
grado	5532
pobremente	8
diferenciado	166
distancia	565
metástasis	1140
secundario	639
presentación	926
metastásica	719
intratorácica	123
torácica	2938
distintos	45
aparatos	96
rectovaginal	102
rectovesical	59
supraclaviculares	40
intraabdominales	65
pectorales	31
inguinales	75
intrapélvicos	120
regiones	331
metastásico	127
generalizado	147
carcinomatosis	23
trasplantado	332
linfoma	2165
hodgkin	856
predominio	190
linfocítico	167
extraganglionares	33
sólidos	109
esclerosis	552
celularidad	93
depleción	176
linfocítica	323
rico	54
linfocitos	799
